"","id","time","Prop"
"193",4,3900,0.423398328690808
"194",4,4000,0.376068376068376
"195",4,4100,0.335243553008596
"196",4,4200,0.369047619047619
"197",4,4300,0.321100917431193
"198",4,4400,0.29153605015674
"199",4,4500,0.327702702702703
"200",4,4600,0.354515050167224
"201",4,4700,0.321543408360129
"202",4,4800,0.343333333333333
"203",4,4900,0.372759856630824
"204",4,5000,0.387096774193548
"205",5,0,0.533707865168539
"206",5,100,0.857142857142857
"207",5,200,0.651515151515151
"208",5,300,0.649122807017544
"209",5,400,0.72
"210",5,500,0.720812182741117
"211",5,600,0.73989898989899
"212",5,700,0.7575
"213",5,800,0.7325
"214",5,900,0.6525
"215",5,1000,0.635
"216",5,1100,0.5975
"217",5,1200,0.55
"218",5,1300,0.5325
"219",5,1400,0.5025
"220",5,1500,0.425316455696203
"221",5,1600,0.387179487179487
"222",5,1700,0.430769230769231
"223",5,1800,0.430379746835443
"224",5,1900,0.376923076923077
"225",5,2000,0.376884422110553
"226",5,2100,0.35
"227",5,2200,0.395
"228",5,2300,0.46
"229",5,2400,0.4025
"230",5,2500,0.395
"231",5,2600,0.4225
"232",5,2700,0.4825
"233",5,2800,0.5075
"234",5,2900,0.5225
"235",5,3000,0.5325
"236",5,3100,0.55
"237",5,3200,0.57
"238",5,3300,0.625
"239",5,3400,0.6425
"240",5,3500,0.6325
"241",5,3600,0.645
"242",5,3700,0.6475
"243",5,3800,0.5775
"244",5,3900,0.57
"245",5,4000,0.5675
"246",5,4100,0.594936708860759
"247",5,4200,0.61025641025641
"248",5,4300,0.661538461538462
"249",5,4400,0.66751269035533
"250",5,4500,0.685
"251",5,4600,0.6825
"252",5,4700,0.7
"253",5,4800,0.675
"254",5,4900,0.658333333333333
"255",5,5000,0.65
"256",6,0,0.533707865168539
"257",6,100,0.4
"258",6,200,0.447447447447447
"259",6,300,0.492424242424242
"260",6,400,0.4675
"261",6,500,0.5725
"262",6,600,0.545
"263",6,700,0.5275
"264",6,800,0.577608142493639
"265",6,900,0.595
"266",6,1000,0.57
"267",6,1100,0.5375
"268",6,1200,0.5675
"269",6,1300,0.555
"270",6,1400,0.5075
"271",6,1500,0.46
"272",6,1600,0.4275
"273",6,1700,0.4475
"274",6,1800,0.44
"275",6,1900,0.425
"276",6,2000,0.4675
"277",6,2100,0.545
"278",6,2200,0.6125
"279",6,2300,0.61
"280",6,2400,0.6325
"281",6,2500,0.585
"282",6,2600,0.545
"283",6,2700,0.49
"284",6,2800,0.4525
"285",6,2900,0.4125
"286",6,3000,0.3925
"287",6,3100,0.425
"288",6,3200,0.4875
"289",6,3300,0.5125
"290",6,3400,0.4325
"291",6,3500,0.4225
"292",6,3600,0.4325
"293",6,3700,0.4625
"294",6,3800,0.4725
"295",6,3900,0.515
"296",6,4000,0.5
"297",6,4100,0.4875
"298",6,4200,0.43
"299",6,4300,0.468030690537084
"300",6,4400,0.487179487179487
"301",6,4500,0.482051282051282
"302",6,4600,0.472361809045226
"303",6,4700,0.4725
"304",6,4800,0.4675
"305",6,4900,0.452513966480447
"306",6,5000,0.461538461538462
"307",7,0,0.533707865168539
"308",7,100,1
"309",7,200,0.584158415841584
"310",7,300,0.46969696969697
"311",7,400,0.45
"312",7,500,0.441919191919192
"313",7,600,0.438461538461538
"314",7,700,0.489949748743719
"315",7,800,0.5175
"316",7,900,0.5175
"317",7,1000,0.502551020408163
"318",7,1100,0.487179487179487
"319",7,1200,0.52896725440806
"320",7,1300,0.55
"321",7,1400,0.546835443037975
"322",7,1500,0.515384615384615
"323",7,1600,0.533333333333333
"324",7,1700,0.553846153846154
"325",7,1800,0.6125
"326",7,1900,0.6525
"327",7,2000,0.666666666666667
"328",7,2100,0.697435897435897
"329",7,2200,0.715384615384615
"330",7,2300,0.725190839694656
"331",7,2400,0.7575
"332",7,2500,0.7125
"333",7,2600,0.6925
"334",7,2700,0.694444444444444
"335",7,2800,0.671794871794872
"336",7,2900,0.692307692307692
"337",7,3000,0.669230769230769
"338",7,3100,0.635897435897436
"339",7,3200,0.592307692307692
"340",7,3300,0.594871794871795
"341",7,3400,0.546153846153846
"342",7,3500,0.525641025641026
"343",7,3600,0.520512820512821
"344",7,3700,0.533333333333333
"345",7,3800,0.538057742782152
"346",7,3900,0.540540540540541
"347",7,4000,0.562666666666667
"348",7,4100,0.561357702349869
"349",7,4200,0.522613065326633
"350",7,4300,0.511278195488722
"351",7,4400,0.47948717948718
"352",7,4500,0.461538461538462
"353",7,4600,0.475452196382429
"354",7,4700,0.42972972972973
"355",7,4800,0.408108108108108
"356",7,4900,0.408955223880597
"357",7,5000,0.421052631578947
"358",8,0,1
"359",8,100,0.533707865168539
"360",8,200,0.466101694915254
"361",8,300,0.52046783625731
"362",8,400,0.525065963060686
"363",8,500,0.522193211488251
"364",8,600,0.5
"365",8,700,0.5
"366",8,800,0.515384615384615
"367",8,900,0.564102564102564
"368",8,1000,0.61038961038961
"369",8,1100,0.644736842105263
"370",8,1200,0.668421052631579
"371",8,1300,0.655263157894737
"372",8,1400,0.652631578947368
"373",8,1500,0.707894736842105
"374",8,1600,0.664987405541562
"375",8,1700,0.634271099744246
"376",8,1800,0.607692307692308
"377",8,1900,0.551637279596977
"378",8,2000,0.495
"379",8,2100,0.4175
"380",8,2200,0.39
"381",8,2300,0.355
"382",8,2400,0.3575
"383",8,2500,0.4
"384",8,2600,0.385
"385",8,2700,0.375
"386",8,2800,0.3275
"387",8,2900,0.3775
"388",8,3000,0.4075
"389",8,3100,0.39440203562341
"390",8,3200,0.41025641025641
"391",8,3300,0.418604651162791
"392",8,3400,0.435897435897436
"393",8,3500,0.435897435897436
"394",8,3600,0.434010152284264
"395",8,3700,0.425
"396",8,3800,0.4025
"397",8,3900,0.448101265822785
"398",8,4000,0.461538461538462
"399",8,4100,0.454545454545455
"400",8,4200,0.405
"401",8,4300,0.37
"402",8,4400,0.4025
"403",8,4500,0.425
"404",8,4600,0.4
"405",8,4700,0.4175
"406",8,4800,0.426065162907268
"407",8,4900,0.435897435897436
"408",8,5000,0.435897435897436
"409",9,0,0.533707865168539
"410",9,100,1
"411",9,200,0.67953667953668
"412",9,300,0.616
"413",9,400,0.548223350253807
"414",9,500,0.535
"415",9,600,0.51
"416",9,700,0.37
"417",9,800,0.3575
"418",9,900,0.3725
"419",9,1000,0.365
"420",9,1100,0.36
"421",9,1200,0.4425
"422",9,1300,0.5025
"423",9,1400,0.481012658227848
"424",9,1500,0.512690355329949
"425",9,1600,0.53
"426",9,1700,0.553571428571429
"427",9,1800,0.525641025641026
"428",9,1900,0.515463917525773
"429",9,2000,0.551282051282051
"430",9,2100,0.548717948717949
"431",9,2200,0.594240837696335
"432",9,2300,0.623655913978495
"433",9,2400,0.557894736842105
"434",9,2500,0.473684210526316
"435",9,2600,0.473684210526316
"436",9,2700,0.481578947368421
"437",9,2800,0.45
"438",9,2900,0.465789473684211
"439",9,3000,0.473684210526316
"440",9,3100,0.473684210526316
"441",9,3200,0.484210526315789
"442",9,3300,0.452631578947368
"443",9,3400,0.428947368421053
"444",9,3500,0.462962962962963
"445",9,3600,0.47027027027027
"446",9,3700,0.486486486486487
"447",9,3800,0.5
"448",9,3900,0.522788203753351
"449",9,4000,0.531578947368421
"450",9,4100,0.514666666666667
"451",9,4200,0.515151515151515
"452",9,4300,0.484679665738162
"453",9,4400,0.484057971014493
"454",9,4500,0.544927536231884
"455",9,4600,0.576023391812866
"456",9,4700,0.626436781609195
"457",9,4800,0.625714285714286
"458",9,4900,0.588050314465409
"459",9,5000,0.588235294117647
"460",10,0,1
"461",10,100,1
"462",10,200,0.587786259541985
"463",10,300,0.510144927536232
"464",10,400,0.530183727034121
"465",10,500,0.57
"466",10,600,0.560411311053985
"467",10,700,0.518421052631579
"468",10,800,0.526595744680851
"469",10,900,0.526737967914438
"470",10,1000,0.548128342245989
"471",10,1100,0.516216216216216
"472",10,1200,0.53804347826087
"473",10,1300,0.480337078651685
"474",10,1400,0.445070422535211
"475",10,1500,0.460055096418733
"476",10,1600,0.454787234042553
"477",10,1700,0.477157360406091
"478",10,1800,0.503778337531486
"479",10,1900,0.4825
"480",10,2000,0.505
"481",10,2100,0.535
"482",10,2200,0.582697201017812
"483",10,2300,0.691516709511568
"484",10,2400,0.690104166666667
"485",10,2500,0.706806282722513
"486",10,2600,0.684931506849315
"487",10,2700,0.682584269662921
"488",10,2800,0.63943661971831
"489",10,2900,0.592391304347826
"490",10,3000,0.535809018567639
"491",10,3100,0.490616621983914
"492",10,3200,0.485411140583554
"493",10,3300,0.479784366576819
"494",10,3400,0.516483516483517
"495",10,3500,0.491428571428571
"496",10,3600,0.511494252873563
"497",10,3700,0.523676880222841
"498",10,3800,0.497142857142857
"499",10,3900,0.509915014164306
"500",10,4000,0.453551912568306
"501",10,4100,0.436997319034853
"502",10,4200,0.454545454545455
"503",10,4300,0.466292134831461
"504",10,4400,0.513888888888889
"505",10,4500,0.535714285714286
"506",10,4600,0.596875
"507",10,4700,0.558730158730159
"508",10,4800,0.521172638436482
"509",10,4900,0.503649635036496
"510",10,5000,0.482758620689655
"511",11,0,0.8
"512",11,100,0.641025641025641
"513",11,200,0.545706371191136
"514",11,300,0.582051282051282
"515",11,400,0.643939393939394
"516",11,500,0.647058823529412
"517",11,600,0.699745547073791
"518",11,700,0.755
"519",11,800,0.66
"520",11,900,0.665
"521",11,1000,0.6925
"522",11,1100,0.6775
"523",11,1200,0.6225
"524",11,1300,0.5525
"525",11,1400,0.4925
"526",11,1500,0.445
"527",11,1600,0.5
"528",11,1700,0.52
"529",11,1800,0.525
"530",11,1900,0.4875
"531",11,2000,0.4475
"532",11,2100,0.425
"533",11,2200,0.4425
"534",11,2300,0.4025
"535",11,2400,0.4075
"536",11,2500,0.4
"537",11,2600,0.4
"538",11,2700,0.4075
"539",11,2800,0.4525
"540",11,2900,0.455
"541",11,3000,0.45
"542",11,3100,0.43765903307888
"543",11,3200,0.435897435897436
"544",11,3300,0.435897435897436
"545",11,3400,0.435897435897436
"546",11,3500,0.412820512820513
"547",11,3600,0.433333333333333
"548",11,3700,0.448717948717949
"549",11,3800,0.461538461538462
"550",11,3900,0.461538461538462
"551",11,4000,0.452261306532663
"552",11,4100,0.455
"553",11,4200,0.45
"554",11,4300,0.45
"555",11,4400,0.45
"556",11,4500,0.45
"557",11,4600,0.45
"558",11,4700,0.4375
"559",11,4800,0.425
"560",11,4900,0.425
"561",11,5000,0.425
"562",12,0,0.285714285714286
"563",12,100,0.536231884057971
"564",12,200,0.520891364902507
"565",12,300,0.481012658227848
"566",12,400,0.4525
"567",12,500,0.49
"568",12,600,0.525125628140704
"569",12,700,0.513853904282116
"570",12,800,0.52
"571",12,900,0.555
"572",12,1000,0.625
"573",12,1100,0.675
"574",12,1200,0.695
"575",12,1300,0.68671679197995
"576",12,1400,0.68974358974359
"577",12,1500,0.620512820512821
"578",12,1600,0.612244897959184
"579",12,1700,0.63
"580",12,1800,0.659846547314578
"581",12,1900,0.651282051282051
"582",12,2000,0.68974358974359
"583",12,2100,0.705570291777188
"584",12,2200,0.65979381443299
"585",12,2300,0.641943734015345
"586",12,2400,0.65
"587",12,2500,0.65
"588",12,2600,0.65
"589",12,2700,0.65
"590",12,2800,0.65
"591",12,2900,0.65
"592",12,3000,0.645
"593",12,3100,0.625
"594",12,3200,0.625
